Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1682370859415761000,1.4718961715698242,0.0517199710011482,0.3684425354003906,-0.0429015686154365,0.7456995629839599,0.4169282849323004,-23.860523223876957,-4.675102233886719,32.09324645996094
1682370859425794800,1.3847240209579468,-0.0365547649562358,0.3697991669178009,0.0209428347855806,0.569841330166161,0.1825680326547473,-23.810035705566406,-5.195320129394531,32.02601623535156
1682370859435829000,1.3188691139221191,-0.1073992475867271,0.3298503756523132,0.1129793134480714,0.3634104105606675,-0.1439287793925963,-23.671443939208984,-5.802211761474609,32.01897430419922
1682370859445863000,1.2713894844055176,-0.1233640909194946,0.2598102986812591,0.2032709942698478,0.1906844844192266,-0.4047611330049112,-23.69219970703125,-6.393764495849609,31.98275756835937
1682370859455896800,1.249084234237671,-0.0728513523936271,0.1482965797185897,0.2698684957712888,-0.0301022927969694,-0.7065078817371279,-23.82070541381836,-6.925552368164063,31.869613647460938
1682370859465931000,1.2400760650634766,-0.0006306881550699,0.0154067110270261,0.2171434522777795,-0.1907623719610273,-0.9183560040857642,-23.957653045654297,-7.397113800048828,31.774002075195312
1682370859475965000,1.235771894454956,0.0557440891861915,-0.124850258231163,0.0512917958199977,-0.2538053958512842,-0.9802081376910208,-24.18512535095215,-7.831642150878906,31.687583923339844
1682370859485998800,1.2250943183898926,0.0727297365665435,-0.2455234080553054,-0.1760351968199014,-0.2003971923992037,-0.9199240571200848,-24.190866470336918,-8.246257781982422,31.515457153320312
1682370859496033000,1.2076971530914309,0.0410044491291046,-0.3316357433795929,-0.3295902662843465,-0.0631426848724484,-0.7430205530330538,-23.89728736877441,-8.571918487548828,31.418434143066406
1682370859506067000,1.186224341392517,-0.0232168808579444,-0.3784072697162628,-0.3836784148246049,0.1711135225087404,-0.5934634306309744,-23.63827896118164,-8.824676513671875,31.28777313232422
1682370859516100900,1.167064547538757,-0.0874826237559318,-0.3769122958183288,-0.2885381249278783,0.3904764044016599,-0.5994662877749651,-23.404544830322266,-9.108928680419922,31.181198120117188
1682370859526135000,1.1401541233062744,-0.1447208672761917,-0.3423252999782562,-0.1417535725116729,0.5491637221880257,-0.7081158283904194,-23.554466247558597,-9.30425262451172,30.998619079589844
1682370859536169000,1.086275935173035,-0.1823821812868118,-0.2784763872623443,0.0087596450388431,0.6893436156421899,-0.814290576390177,-23.89613342285156,-9.549179077148438,30.850570678710938
1682370859546203000,1.0099598169326782,-0.2202592492103576,-0.1944123804569244,0.1441904442697763,0.7887196434125304,-0.88489862870723,-24.16984367370605,-9.744224548339844,30.734939575195312
1682370859556237000,0.9147305488586426,-0.2643440365791321,-0.1032367497682571,0.2687847921878099,0.8483020054548979,-0.9331915349721908,-25.201147079467773,-9.821197509765623,30.45556640625
1682370859566270700,0.821887731552124,-0.2922451794147491,-0.0285529196262359,0.4017939172297716,0.8451113927200437,-0.9848312674470244,-25.57626342773437,-9.907325744628906,30.260643005371094
1682370859576305000,0.7449979782104492,-0.2808615267276764,0.0248527564108371,0.5309405216246843,0.7696857109881937,-1.0732606615282594,-25.74077033996582,-10.131828308105469,30.11003875732422
1682370859586339000,0.6768947839736938,-0.2275881916284561,0.0600395053625106,0.6748650084346532,0.6181909350544214,-1.1796768170684575,-25.946460723876957,-10.28439712524414,29.903732299804688
1682370859596372700,0.6183372139930725,-0.1472164541482925,0.0848344564437866,0.8011363496541977,0.4581773371003568,-1.2269754515990614,-26.050031661987305,-10.492244720458984,29.713478088378903
1682370859606407000,0.5710951685905457,-0.0293489377945661,0.0966778025031089,0.8623989198684692,0.3134109926387667,-1.2131930099621415,-26.062480926513672,-10.705852508544922,29.55677032470703
1682370859616441000,0.5291940569877625,0.088944211602211,0.1080547049641609,0.818060596448183,0.2339513792157173,-1.1457486093077809,-26.11102867126465,-10.872390747070312,29.41645812988281
1682370859626474800,0.4869371056556701,0.1801436245441436,0.1399077028036117,0.593224836102128,0.1639908310219645,-1.0470911781355738,-26.00926780700684,-11.011821746826172,29.263992309570312
1682370859636509000,0.4279285073280334,0.2353865951299667,0.2098589688539505,0.3541483689576387,0.2047333219073712,-1.0355012781068682,-25.938411712646484,-11.13787078857422,29.13636016845703
1682370859646543000,0.3559299409389496,0.2243605852127075,0.3184112906455993,0.0338806422919035,0.3818386321768164,-1.0205991847902536,-25.929094314575195,-11.317947387695312,29.09540557861328
1682370859656576800,0.2687045037746429,0.1258075684309005,0.4597777426242828,-0.4033089979678392,0.4676525830626487,-0.9337247650660574,-25.791336059570312,-11.469066619873049,29.142166137695312
1682370859666611000,0.1896653473377227,-0.044855523854494,0.5883868336677551,-0.8129366775631904,0.4088574258752167,-0.9492978895120322,-25.66291236877441,-11.676570892333984,29.15906524658203
1682370859676645000,0.1369758248329162,-0.218848779797554,0.6454795002937317,-0.9945376918166876,0.1904753717131912,-1.0832874038934708,-25.617891311645508,-11.87848663330078,29.21788787841797
